iter	Passed	Remaining
0	2	2194
1	4	2049
2	5	1918
3	8	2158
4	10	2064
5	11	1978
6	13	1939
7	15	1925
8	17	1913
9	19	1903
10	20	1876
11	23	1907
12	25	1912
13	26	1897
14	28	1886
15	30	1885
16	32	1876
17	33	1853
18	35	1840
19	37	1835
20	39	1842
21	41	1843
22	43	1829
23	44	1824
24	46	1809
25	48	1802
26	49	1793
27	51	1785
28	53	1780
29	55	1799
30	57	1801
31	59	1806
32	61	1810
33	63	1807
34	65	1811
35	67	1816
36	71	1871
37	73	1871
38	75	1867
39	77	1863
40	80	1873
41	81	1869
42	84	1879
43	87	1892
44	90	1926
45	93	1937
46	95	1934
47	97	1926
48	98	1919
49	101	1926
50	103	1921
51	104	1912
52	106	1906
53	108	1898
54	110	1897
55	112	1891
56	114	1888
57	116	1895
58	118	1896
59	120	1894
60	122	1890
61	124	1884
62	126	1877
63	128	1877
64	131	1885
65	133	1892
66	135	1884
67	137	1882
68	139	1875
69	140	1869
70	142	1869
71	144	1867
72	148	1880
73	151	1889
74	153	1895
75	156	1907
76	159	1914
77	162	1924
78	165	1931
79	168	1936
80	170	1935
81	172	1936
82	175	1936
83	178	1943
84	180	1945
85	182	1944
86	184	1940
87	186	1937
88	189	1937
89	191	1938
90	196	1965
91	200	1978
92	203	1983
93	206	1986
94	211	2013
95	216	2036
96	219	2046
97	222	2051
98	227	2073
99	231	2079
100	233	2079
101	236	2078
102	240	2091
103	244	2105
104	247	2106
105	249	2106
106	253	2111
107	255	2112
108	259	2125
109	263	2128
110	265	2127
111	268	2129
112	273	2150
113	278	2163
114	282	2175
115	286	2181
116	292	2205
117	296	2217
118	300	2221
119	305	2238
120	309	2248
121	314	2263
122	318	2271
123	322	2279
124	328	2296
125	333	2312
126	339	2335
127	345	2352
128	348	2354
129	351	2352
130	354	2350
131	356	2346
132	359	2342
133	361	2334
134	363	2327
135	365	2319
136	367	2316
137	370	2312
138	372	2304
139	374	2297
140	375	2289
141	377	2283
142	379	2276
143	381	2267
144	384	2269
145	388	2271
146	391	2269
147	393	2265
148	396	2266
149	401	2274
150	404	2272
151	407	2271
152	409	2268
153	413	2270
154	417	2274
155	420	2273
156	422	2269
157	425	2269
158	430	2277
159	433	2277
160	436	2275
161	440	2278
162	443	2279
163	447	2279
164	450	2282
165	454	2281
166	457	2280
167	460	2279
168	463	2279
169	466	2278
170	471	2287
171	475	2288
172	479	2293
173	482	2292
174	485	2290
175	487	2284
176	490	2280
177	494	2281
178	496	2278
179	499	2274
180	501	2269
181	503	2264
182	507	2266
183	509	2261
184	512	2256
185	515	2255
186	518	2254
187	520	2249
188	523	2246
189	526	2243
190	529	2240
191	531	2238
192	535	2237
193	537	2234
194	540	2230
195	542	2224
196	544	2218
197	546	2212
198	548	2207
199	550	2203
200	553	2198
201	555	2193
202	557	2186
203	558	2180
204	560	2174
205	562	2168
206	564	2161
207	567	2159
208	570	2159
209	573	2157
210	577	2158
211	580	2157
212	586	2165
213	588	2162
214	591	2161
215	594	2157
216	596	2152
217	598	2146
218	601	2145
219	604	2144
220	606	2139
221	609	2136
222	612	2132
223	614	2127
224	616	2124
225	619	2120
226	621	2116
227	624	2115
228	627	2111
229	629	2107
230	634	2111
231	638	2114
232	642	2114
233	652	2136
234	655	2135
235	659	2134
236	662	2131
237	665	2131
238	669	2132
239	673	2134
240	677	2132
241	683	2140
242	685	2136
243	689	2135
244	692	2132
245	695	2132
246	699	2131
247	702	2130
248	706	2130
249	709	2128
250	713	2128
251	716	2125
252	718	2122
253	721	2118
254	723	2115
255	727	2112
256	731	2114
257	734	2111
258	736	2108
259	741	2110
260	744	2108
261	747	2105
262	750	2101
263	752	2096
264	754	2092
265	756	2088
266	759	2085
267	761	2081
268	764	2077
269	766	2071
270	768	2067
271	772	2068
272	775	2065
273	778	2062
274	781	2060
275	785	2060
276	790	2062
277	793	2061
278	797	2061
279	801	2059
280	805	2060
281	808	2058
282	811	2055
283	814	2053
284	817	2051
285	822	2052
286	826	2053
287	831	2054
288	837	2061
289	842	2062
290	848	2067
291	858	2081
292	864	2085
293	870	2090
294	878	2099
295	887	2109
296	896	2122
297	912	2149
298	921	2160
299	928	2166
300	935	2172
301	940	2174
302	944	2172
303	950	2176
304	955	2177
305	958	2174
306	962	2172
307	966	2170
308	969	2167
309	973	2166
310	976	2162
311	981	2164
312	984	2161
313	988	2160
314	992	2158
315	998	2160
316	1005	2165
317	1008	2163
318	1011	2159
319	1014	2155
320	1016	2150
321	1019	2147
322	1022	2142
323	1025	2138
324	1028	2135
325	1030	2130
326	1032	2125
327	1034	2119
328	1036	2113
329	1038	2107
330	1040	2102
331	1042	2098
332	1045	2093
333	1047	2088
334	1048	2082
335	1051	2077
336	1052	2071
337	1055	2066
338	1057	2062
339	1059	2056
340	1062	2052
341	1064	2048
342	1067	2044
343	1069	2039
344	1071	2034
345	1074	2030
346	1076	2025
347	1078	2020
348	1080	2014
349	1083	2011
350	1085	2006
351	1087	2002
352	1091	2000
353	1094	1996
354	1095	1990
355	1097	1985
356	1099	1979
357	1100	1974
358	1103	1970
359	1106	1967
360	1109	1963
361	1110	1957
362	1112	1952
363	1114	1947
364	1116	1942
365	1118	1937
366	1120	1933
367	1122	1928
368	1125	1924
369	1127	1919
370	1129	1914
371	1131	1909
372	1133	1905
373	1136	1902
374	1138	1897
375	1140	1893
376	1142	1888
377	1144	1883
378	1146	1878
379	1148	1873
380	1150	1869
381	1152	1864
382	1153	1859
383	1155	1854
384	1157	1849
385	1159	1843
386	1161	1839
387	1163	1834
388	1165	1830
389	1167	1826
390	1169	1821
391	1171	1816
392	1172	1811
393	1175	1807
394	1177	1804
395	1179	1799
396	1182	1795
397	1184	1791
398	1186	1786
399	1188	1782
400	1190	1778
401	1192	1773
402	1194	1769
403	1196	1765
404	1198	1761
405	1200	1756
406	1202	1752
407	1204	1747
408	1206	1743
409	1208	1739
410	1210	1734
411	1213	1731
412	1215	1727
413	1217	1723
414	1219	1719
415	1221	1714
416	1223	1710
417	1225	1706
418	1228	1703
419	1230	1699
420	1233	1697
421	1236	1693
422	1238	1688
423	1240	1685
424	1242	1680
425	1245	1678
426	1247	1674
427	1250	1670
428	1251	1666
429	1254	1662
430	1255	1658
431	1258	1654
432	1260	1651
433	1262	1647
434	1265	1643
435	1267	1639
436	1269	1635
437	1271	1631
438	1273	1626
439	1275	1623
440	1278	1620
441	1280	1616
442	1282	1612
443	1284	1608
444	1286	1604
445	1288	1600
446	1289	1595
447	1292	1592
448	1294	1589
449	1297	1585
450	1299	1582
451	1301	1578
452	1303	1574
453	1305	1570
454	1322	1584
455	1324	1579
456	1326	1575
457	1327	1571
458	1329	1566
459	1330	1562
460	1333	1558
461	1335	1554
462	1336	1550
463	1339	1547
464	1340	1542
465	1342	1538
466	1344	1534
467	1346	1530
468	1347	1525
469	1349	1521
470	1351	1517
471	1352	1513
472	1355	1509
473	1356	1505
474	1358	1501
475	1360	1497
476	1362	1493
477	1363	1489
478	1366	1486
479	1369	1483
480	1371	1479
481	1373	1476
482	1375	1472
483	1377	1468
484	1378	1464
485	1381	1461
486	1383	1457
487	1386	1454
488	1388	1450
489	1390	1447
490	1392	1443
491	1394	1439
492	1409	1449
493	1412	1446
494	1414	1443
495	1416	1439
496	1419	1436
497	1421	1433
498	1423	1429
499	1425	1425
500	1427	1421
501	1428	1417
502	1430	1413
503	1433	1410
504	1435	1406
505	1436	1402
506	1439	1399
507	1440	1395
508	1442	1391
509	1444	1387
510	1445	1383
511	1447	1380
512	1450	1376
513	1452	1373
514	1454	1369
515	1455	1365
516	1457	1361
517	1459	1358
518	1461	1354
519	1463	1351
520	1465	1347
521	1467	1343
522	1469	1340
523	1471	1336
524	1473	1333
525	1475	1329
526	1477	1326
527	1480	1323
528	1482	1319
529	1484	1316
530	1486	1313
531	1488	1309
532	1491	1306
533	1493	1302
534	1495	1300
535	1498	1296
536	1500	1293
537	1502	1290
538	1504	1286
539	1506	1283
540	1507	1279
541	1510	1276
542	1512	1272
543	1514	1269
544	1516	1265
545	1519	1263
546	1521	1260
547	1523	1256
548	1525	1253
549	1527	1249
550	1529	1246
551	1531	1242
552	1533	1239
553	1535	1236
554	1537	1232
555	1539	1229
556	1541	1226
557	1543	1222
558	1545	1219
559	1547	1216
560	1549	1212
561	1552	1209
562	1555	1207
563	1557	1204
564	1560	1201
565	1562	1197
566	1564	1194
567	1566	1191
568	1568	1188
569	1571	1185
570	1575	1183
571	1577	1180
572	1579	1177
573	1581	1174
574	1584	1170
575	1585	1167
576	1588	1164
577	1590	1161
578	1593	1158
579	1595	1155
580	1597	1152
581	1599	1149
582	1602	1146
583	1603	1142
584	1606	1139
585	1608	1136
586	1610	1133
587	1612	1129
588	1614	1126
589	1616	1123
590	1619	1120
591	1621	1117
592	1623	1114
593	1625	1111
594	1628	1108
595	1631	1105
596	1634	1103
597	1637	1101
598	1641	1098
599	1643	1095
600	1646	1093
601	1649	1090
602	1653	1088
603	1656	1086
604	1659	1083
605	1662	1080
606	1665	1078
607	1668	1075
608	1671	1073
609	1674	1070
610	1677	1068
611	1680	1065
612	1683	1062
613	1687	1061
614	1691	1058
615	1694	1056
616	1697	1053
617	1702	1052
618	1705	1049
619	1708	1046
620	1711	1044
621	1719	1044
622	1724	1043
623	1729	1042
624	1735	1041
625	1739	1039
626	1745	1038
627	1751	1037
628	1756	1035
629	1759	1033
630	1765	1032
631	1768	1029
632	1771	1027
633	1774	1024
634	1779	1022
635	1782	1020
636	1785	1017
637	1788	1014
638	1791	1011
639	1796	1010
640	1799	1007
641	1802	1004
642	1804	1001
643	1807	998
644	1811	996
645	1814	994
646	1817	991
647	1821	989
648	1825	987
649	1829	985
650	1833	982
651	1835	979
652	1837	976
653	1842	974
654	1844	971
655	1862	976
656	1865	974
657	1868	971
658	1871	968
659	1874	965
660	1878	963
661	1881	960
662	1883	957
663	1887	955
664	1890	952
665	1892	949
666	1895	946
667	1898	943
668	1901	941
669	1906	938
670	1908	935
671	1913	933
672	1915	930
673	1919	928
674	1921	925
675	1926	923
676	1931	921
677	1938	920
678	1945	919
679	1948	917
680	1952	914
681	1955	911
682	1958	909
683	1962	906
684	1965	904
685	1969	901
686	1972	898
687	1975	896
688	1978	893
689	1984	891
690	1989	889
691	1993	887
692	1995	884
693	1999	881
694	2002	878
695	2007	876
696	2011	874
697	2015	871
698	2019	869
699	2022	866
700	2026	864
701	2030	861
702	2033	859
703	2036	856
704	2038	853
705	2040	849
706	2043	846
707	2046	844
708	2049	841
709	2052	838
710	2055	835
711	2060	833
712	2062	830
713	2065	827
714	2067	824
715	2070	821
716	2073	818
717	2076	815
718	2079	812
719	2082	809
720	2085	807
721	2089	804
722	2093	801
723	2095	798
724	2098	795
725	2100	792
726	2102	789
727	2105	786
728	2107	783
729	2109	780
730	2111	777
731	2113	773
732	2116	770
733	2118	767
734	2121	764
735	2123	761
736	2126	758
737	2128	755
738	2130	752
739	2133	749
740	2135	746
741	2139	743
742	2142	741
743	2145	738
744	2148	735
745	2152	732
746	2156	730
747	2160	727
748	2164	725
749	2168	722
750	2171	720
751	2174	717
752	2177	714
753	2180	711
754	2184	708
755	2188	706
756	2190	703
757	2193	700
758	2195	697
759	2198	694
760	2202	691
761	2205	688
762	2208	686
763	2211	683
764	2214	680
765	2217	677
766	2219	674
767	2221	671
768	2226	668
769	2230	666
