input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.233,,1185.15600585937,100.0,97.1348266601562,5.00000095367432,0.0,6.39840602874756,0.0,0.0,30.08,,,,
2.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.412,,1184.75402832031,100.0,84.0090866088867,5.00000095367432,0.0,6.38707113265991,0.0,0.0,30.01,,,,
4.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.35,,1185.18200683594,100.0,78.1165466308594,5.00000095367432,0.0,6.39428377151489,0.0,0.0,30.01,,,,
6.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,3.59,,1185.13000488281,100.0,70.3319320678711,5.00000095367432,0.0,6.2537989616394,0.0,0.0,30.01,,,,
8.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,7.82,,1185.125,100.0,58.1576385498047,5.00000095367432,0.0,6.21498489379883,0.0,0.0,30.01,,,,
9.75,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,15.2,47.9999999999999,1185.083984375,100.0,48.9890785217285,5.00000095367432,0.0,6.39943599700928,0.0,0.0,30.0,,0.0,10.57,27.43
12.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,26.9,75.0,1184.81994628906,100.0,47.3240394592285,5.00000095367432,0.0,6.26925611495972,10.9,0.3706,30.0,,0.0,0.5,23.86
14.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,38.1,105.5,1184.84802246094,98.0302581787109,39.3772315979004,4.99994993209839,1.97052001953125,6.22357177734375,16.39,0.55726,30.01,,0.0,0.52,17.69
16.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,43.5,135.5,1184.92602539062,87.7060089111328,31.7656002044678,5.05999898910522,12.3064498901367,6.30085706710815,24.37,0.82858,30.06,,4.83577,2.51,14.0
18.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,51.6,175.5,1184.87805175781,90.7597732543945,42.0261688232422,5.03999996185303,9.23785781860352,6.22975492477417,17.9,0.6086,29.98,,0.0,3.77,5.83
20.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,60.3,189.5,1184.98400878906,93.9065093994141,37.5608215332031,5.02557706832886,6.11059617996216,6.34379196166992,17.9,0.6086,30.02,,0.0,0.82,0.01
22.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,69.0,203.5,1185.15698242187,88.3426818847656,39.4745407104492,5.04087591171265,11.6536502838135,6.27853012084961,17.9,0.6086,30.0,,0.0,1.09,0.08
24.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,80.2,206.5,1184.98596191406,89.2131881713867,39.571849822998,5.03999996185303,10.7874097824097,6.25311183929443,17.9,0.6086,30.0,,2.07337,1.74,0.0
28.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,86.4,198.0,1185.91003417969,93.9722518920898,39.7232093811035,5.00017213821411,6.02917909622192,6.19678020477295,17.9,0.6086,26.0,,14.51172,1.25,0.01
32.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,90.8,193.5,1186.30798339844,92.9405670166016,40.1448783874512,5.0837869644165,7.0597882270813,6.223228931427,12.5,0.425,25.99,,16.29574,1.62,0.0
36.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,88.8,190.0,1184.81896972656,93.405158996582,40.0583801269531,4.9842209815979,6.5947527885437,6.25585985183716,12.5,0.425,26.01,,18.36344,2.61,0.04
40.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,92.8,179.0,1185.16796875,94.7373275756836,40.3935585021973,4.94687795639038,5.26217985153198,6.24211978912354,8.75,0.2975,25.99,,17.85282,2.24,0.02
44.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,93.6,184.0,1184.97900390625,98.0489883422852,40.609790802002,4.98027801513672,1.94754004478455,6.23112916946411,6.12,0.20808,26.0,,11.57407,3.69,0.01
48.0,5L Fermenter,5000ml,Ferm1,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,97.0,186.0,1184.60705566406,99.7067413330078,39.8529586791992,4.99999904632568,0.293384611606598,6.23353290557861,4.27,0.14518,26.0,,4.37495,5.26,0.0
