input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.3383333333333334,,1196.4749755859375,100.0,98.33033752441406,5.000000953674316,0.0,6.748733997344971,0.0,0.0,30.08,6.78,0.0,9.51,27.15
2,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.524,,1194.3380126953125,100.0,94.6827621459961,5.000000953674316,0.0,6.780488014221191,0.0,0.0,29.95,6.68,0.0,9.71,34.14
4,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,1.2466666666666668,,1195.45703125,100.0,88.77471923828125,5.00264310836792,0.0,6.8885178565979,0.0,0.0,30.01,7.02,0.0,13.14,26.07
6,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,5.95,25.499999999999968,1194.800048828125,100.0,77.08706665039062,5.000926017761231,0.0,6.875058174133301,0.0,0.0,30.0,5.78,0.0,24.16,24.68
8,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,16.566666666666666,,1194.593017578125,100.0,48.49729919433594,5.000007152557373,0.0,6.677289009094238,0.0,0.0,30.03,1.09,0.0,20.93,19.88
10,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,25.933333333333334,,1194.873046875,100.0,80.19522094726562,5.007590770721436,0.0,6.893350124359131,8.81,0.29954,30.01,0.0,-0.03516,1.2,21.23
12,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,33.13333333333333,,1195.2159423828125,100.0,71.05061340332031,5.019999980926514,0.0,6.552001953125,13.1,0.4454,29.97,0.0,-0.03516,0.78,16.57
14,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,42.833333333333336,,1195.22705078125,100.0,44.23323822021485,5.039988994598389,0.0,5.25839900970459,19.62,0.66708,30.03,0.0,-0.03516,0.27,26.72
16,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,50.86666666666667,,1195.470947265625,100.0,49.01103973388672,5.000155925750732,0.0,6.757018089294434,17.9,0.6085999999999999,29.98,0.0,-0.0370799999999999,0.66,17.16
18,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,52.86666666666667,136.5000000000001,1194.9310302734375,100.0,56.10068893432617,5.000000953674316,0.0,6.718361854553223,17.9,0.6085999999999999,30.01,0.0,-0.03516,0.46,19.03
20,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,54.13333333333333,140.5,1194.4300537109375,100.0,65.3994369506836,5.000878810882568,0.0,6.736653804779053,17.9,0.6085999999999999,30.01,0.0,-0.039,0.59,16.76
22,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,56.43333333333334,151.00000000000003,1195.3609619140625,100.0,66.73516082763672,5.000000953674316,0.0,6.771859169006348,17.9,0.6085999999999999,30.02,0.0,-0.0382999999999999,0..39,14.64
24,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,53.0,157.49999999999997,1194.5789794921875,100.0,65.01412963867188,5.018497943878174,0.0,6.796363830566406,17.9,0.6085999999999999,29.97,0.0,-0.08658,1.8,13.06
26,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,75.5,,1195.0880126953125,100.0,51.45132064819336,5.00470495223999,0.0,6.7318220138549805,22.4,0.7615999999999999,30.02,0.0,-0.04092,0.49,9.99
28,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,72.33333333333333,184.0,1194.6290283203125,100.0,44.644229888916016,5.008325099945068,0.0,6.701448917388916,22.4,0.7615999999999999,30.0,0.0,-0.04092,0.51,8.03
30,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.9639892578125,100.0,47.70100021362305,5.000000953674316,0.0,6.711803913116455,19.1,0.6494,30.02,0.0,-0.04156,,
32,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,77.0,200.50000000000009,1194.5419921875,100.0,44.95248031616211,5.01973295211792,0.0,6.759434223175049,19.1,0.6494,30.03,0.0,-0.039,0.67,5.1
34,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.2060546875,100.0,45.49190902709961,5.000000953674316,0.0,6.749424934387207,19.1,0.6494,30.01,0.0,-0.03964,,
