input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.2976666666666667,,1195.04296875,100.0,60.12702941894531,5.000000953674316,0.0,6.736390113830566,0.0,0.0,30.00783920288086,,0.26916,9.61,31.0
2,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.5793333333333334,,1195.5150146484375,100.0,59.50600051879883,5.000000953674316,0.0,6.781516075134277,0.0,0.0,29.989410400390625,,0.22441,10.22,28.31
4,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,1.5499999999999998,,1195.072021484375,100.0,59.04022979736328,5.014362812042236,0.0,6.8983540534973145,0.0,0.0,30.013940811157227,,-0.03389,15.51,26.18
6,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,6.616666666666667,28.5,1195.06494140625,100.0,56.03387069702149,4.999999046325684,0.0,6.864071846008301,0.0,0.0,30.013940811157227,,-0.03516,23.15,24.84
8,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,16.240000000000002,,1194.9649658203125,98.13037109375,40.95977020263672,5.028180122375488,1.8683819770812988,6.699659824371338,0.0,0.0,30.032320022583008,,-0.04667,6.72,23.45
10,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,30.13333333333333,,1195.16796875,100.0,53.57798004150391,4.967864036560059,0.0,6.703856945037842,10.364439964294434,0.352,29.989410400390625,,-0.06074,-0.85,22.24
12,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,41.43333333333333,,1195.02001953125,99.88912963867188,39.774169921875,4.962851047515869,0.1112900003790855,6.775218963623047,20.21759986877441,0.687,30.00786018371582,,-0.0747999999999999,0.37,17.41
14,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,48.26666666666666,,1195.0999755859375,86.57466125488281,35.525760650634766,3.789405107498169,13.432339668273926,6.738839149475098,30.133350372314453,1.024,30.050880432128903,,4.19728,8.02,15.56
16,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,53.7,,1195.012939453125,79.03945922851562,40.46577072143555,3.799973964691162,20.95992088317871,6.722746849060059,23.270000457763672,0.791,30.03853988647461,,7.13825,10.27,12.14
18,5L Fermenter,5000ml,Ferm3,1195,1,6.8,5,100,0.0,30,Media type A,Glucose,0,67.53333333333335,198.5,1194.9840087890625,99.1530532836914,36.55609893798828,4.886563777923584,0.8470190763473511,6.76997184753418,16.280000686645508,0.554,29.946409225463867,,-0.03772,3.01,6.91
