input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.245,,1184.07604980469,100.0,98.7794799804687,5.00000095367432,0.0,6.39339876174927,0.0,0.0,30.07,,,,
2.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.415,,1184.84899902344,100.0,96.3833770751953,5.00000095367432,0.0,6.39095401763916,0.0,0.0,30.02,,,,
4.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.39,,1184.53295898437,100.0,93.8000717163086,5.00000095367432,0.0,6.38397121429443,0.0,0.0,30.02,,,,
6.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,3.63,,1184.98596191406,100.0,82.6806411743164,5.00000095367432,0.0,6.25581312179565,0.0,0.0,30.01,,,,
8.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,7.7,,1185.15295410156,100.0,65.1141891479492,5.00000095367432,0.0,6.21146392822266,0.0,0.0,30.01,,,,
9.75,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,14.8,48.0,1185.17297363281,100.0,49.2474708557129,5.00000095367432,0.0,6.39130401611328,0.0,0.0,29.99,,0.0,11.0,27.43
12.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,27.8,75.5,1185.03100585937,100.0,45.1815795898438,5.00000095367432,0.0,6.20517921447754,10.89,0.37026,29.99,,0.0,0.39,23.43
14.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,39.3,108.5,1184.91394042969,98.2327194213867,44.7098503112793,5.00000095367432,1.76140201091766,6.21076583862305,16.39,0.55726,29.99,,0.0,0.63,17.21
16.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.3,137.5,1184.48095703125,88.798713684082,35.5222702026367,5.01999998092651,11.2069101333618,6.25266981124878,24.39,0.82926,30.07,,5.5935,2.4,13.54
18.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,54.1,177.5,1184.67797851562,89.7648620605469,42.7929611206055,5.00972604751587,10.231650352478,6.31133699417114,17.9,0.6086,30.02,,0.17903,8.58,5.25
20.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,61.1,190.5,1185.1650390625,95.4686584472656,41.168098449707,5.01999998092651,4.52763414382935,6.29422616958618,17.9,0.6086,29.99,,0.0,0.95,0.06
22.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,71.1,205.5,1184.93896484375,91.5447463989258,40.0374412536621,5.04000091552734,8.4668083190918,6.20098781585693,17.9,0.6086,30.0,,0.87877,1.27,0.09
24.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,83.0,201.5,1184.68298339844,91.648193359375,41.1531295776367,5.04164123535156,8.35023880004883,6.23311519622803,17.9,0.6086,29.99,,4.64917,1.61,0.0
28.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,84.4,194.0,1184.68798828125,96.431770324707,39.0939712524414,4.95921993255615,3.5697751045227,6.30190801620483,17.9,0.6086,26.0,,19.70619,1.11,0.01
32.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,87.6,188.5,1184.63000488281,96.1704406738281,40.284538269043,4.99035978317261,3.82922697067261,6.24987697601318,12.5,0.425,26.0,,23.8668,1.54,0.0
36.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,87.6,184.0,1185.11999511719,96.6858673095703,39.9925117492676,4.8612961769104,3.31420207023621,6.21216297149658,12.5,0.425,26.01,,27.54201,3.01,0.02
40.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,90.4,180.0,1185.11499023437,97.3096237182617,40.3219795227051,4.92020797729492,2.69335198402405,6.2439398765564,8.75,0.2975,26.01,,28.67041,1.96,0.01
44.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,95.2,182.0,1185.0419921875,98.214973449707,40.0823707580566,4.94006395339966,1.78493499755859,6.25441598892212,6.1,0.2074,25.99,,22.32233,2.91,0.03
48.0,5L Fermenter,5000ml,Ferm3,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,99.6,182.5,1184.91003417969,99.4445114135742,39.925121307373,4.96446514129639,0.555599212646484,6.25371789932251,4.27,0.14518,25.99,,14.60628,3.9,0.04
