input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.338333333,,1196.474976,100,98.33033752,5.000000954,0,6.748733997,0,0,30.08,0,9.51,27.15
2,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.524,,1194.338013,100,94.68276215,5.000000954,0,6.780488014,0,0,29.95,0,9.71,34.14
4,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,1.246666667,,1195.457031,100,88.77471924,5.002643108,0,6.888517857,0,0,30.01,0,13.14,26.07
6,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,5.95,25.5,1194.800049,100,77.08706665,5.000926018,0,6.875058174,0,0,30,0,24.16,24.68
8,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,16.56666667,,1194.593018,100,48.49729919,5.000007153,0,6.677289009,0,0,30.03,0,20.93,19.88
10,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,25.93333333,,1194.873047,100,80.19522095,5.007590771,0,6.893350124,8.81,0.29954,30.01,-0.03516,1.2,21.23
12,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,33.13333333,,1195.215942,100,71.0506134,5.019999981,0,6.552001953,13.1,0.4454,29.97,-0.03516,0.78,16.57
14,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,42.83333333,,1195.227051,100,44.23323822,5.039988995,0,5.25839901,19.62,0.66708,30.03,-0.03516,0.27,26.72
16,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,50.86666667,,1195.470947,100,49.01103973,5.000155926,0,6.757018089,17.9,0.6086,29.98,-0.03708,0.66,17.16
18,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,52.86666667,136.5,1194.93103,100,56.10068893,5.000000954,0,6.718361855,17.9,0.6086,30.01,-0.03516,0.46,19.03
20,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,54.13333333,140.5,1194.430054,100,65.39943695,5.000878811,0,6.736653805,17.9,0.6086,30.01,-0.039,0.59,16.76
22,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,56.43333333,151,1195.360962,100,66.73516083,5.000000954,0,6.771859169,17.9,0.6086,30.02,-0.0383,0..39,14.64
24,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,53,157.5,1194.578979,100,65.01412964,5.018497944,0,6.796363831,17.9,0.6086,29.97,-0.08658,1.8,13.06
26,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,75.5,,1195.088013,100,51.45132065,5.004704952,0,6.731822014,22.4,0.7616,30.02,-0.04092,0.49,9.99
28,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,72.33333333,184,1194.629028,100,44.64422989,5.0083251,0,6.701448917,22.4,0.7616,30,-0.04092,0.51,8.03
30,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.963989,100,47.70100021,5.000000954,0,6.711803913,19.1,0.6494,30.02,-0.04156,,
32,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,77,200.5,1194.541992,100,44.95248032,5.019732952,0,6.759434223,19.1,0.6494,30.03,-0.039,0.67,5.1
34,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.206055,100,45.49190903,5.000000954,0,6.749424934,19.1,0.6494,30.01,-0.03964,,
36,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,76.66666667,202,1195.162964,100,39.86642075,5.000000954,0.007091522,6.743902206,19.1,0.6494,29.99,-0.04156,0.51,2.12
38,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.805054,99.89544678,39.63523865,5.000000954,0.105014801,6.781177998,19.1,0.6494,30.02,-0.04348,,
40,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,73.33333333,219,1195.464966,99.50377655,36.50141144,4.98969698,0.510871887,6.773240089,19.1,0.6494,30.01,-0.04159,0.37,-0.14
44,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,74,209,1194.822021,97.74250793,39.94348907,4.959584236,2.257622004,6.701448917,19.1,0.6494,29.98,-0.0422,0.48,
48,5L Fermenter,5000ml,Ferm3,1195,100,6.8,5,100,0,30,Media A,Glucose,0,80.66666667,225,1195.781006,99.34483337,39.55818176,4.95991087,0.655723572,6.704901218,17.4,0.5916,29.97,-0.04348,0.94,
