input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,0.379333333,,1194.81897,100,89.27613831,2.5,0,6.671144009,0,0,30.35906982,,,
2,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,0.675666667,,1195.271973,100,81.55718994,2.5,0,6.723080158,0,0,29.99622917,,,
4,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,2.556666667,,1194.790039,100,77.92671967,2.5,0,6.75020504,0,0,30.00836945,,,
6,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,7.42,70.5,1195.052002,100,68.96782684,2.5,0,6.758143902,0,0,30.00956917,,,
8,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,30.26666667,,1195.050049,100,47.44190979,2.5,0,6.765090942,7.704248905,0.2618,29.98539925,0,15,19.3
10,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,33.76666667,,1194.577026,99.82832336,39.07506943,2.5,0.173107103,6.733664989,11.40577984,0.387,30.00406075,0,0,17.2
12,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,43.56666667,,1195.168945,97.14460754,39.06389999,2.418529987,2.856461048,6.737966061,17.21850014,0.585,30.00946999,0.0224,4.6,13.2
14,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,48.4,,1195.175049,96.61512756,40.18096924,2.433701992,3.3840909,6.712493896,29.44000053,1,29.99230957,10.88,6.3,10.5
16,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,60.03333333,,1195.114014,82.22001648,39.93521118,2.640000105,17.78564072,6.711833,17.50499916,0.595,30.04143906,1.55,15.9,5.5
18,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,68.66666667,,1195.392944,93.16815186,45.1184082,2.46478796,6.825756073,6.778323174,18.81999969,0.639,29.96784973,0,0,1.8
20,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,54.93333333,,1194.998047,92.19309998,40.90705872,2.519115925,7.79962492,6.716133118,18.81999969,0.639,29.9864006,0,0,0.7
22,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,68.53333333,215.5,1194.828003,91.32528687,40.56076813,2.473459005,8.674003601,6.716794014,24.88599968,0.846,29.9922905,,,
24,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,67.2,208,1194.618042,92.38506317,38.79579926,2.474289894,7.616336823,6.700915813,24.88599968,0.846,30.02934074,,,
26,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,,,1194.854004,92.13755035,36.85210037,2.339204073,7.866402149,6.765421867,24.88599968,0.846,30.01085091,21.149,4.5,0
28,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,108.8,163,1194.916992,91.94239807,37.74575043,2.322480917,8.057076454,6.767076015,24.88599968,0.846,30.01693916,,,
30,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,,,1195.090942,92.26107025,38.87398911,2.300884962,7.740433216,6.737966061,12.11999989,0.412,30.01054955,21.354,5.3,0
32,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,158,219.5,1195.05896,93.13629913,37.10902023,2.349798918,6.859504223,6.757152081,12.11999989,0.412,30.01691055,,,
34,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,,,1195.140015,94.72073364,40.37086105,2.315659046,5.276573181,6.700254917,10.30000019,0.35,29.99218941,0.006,6.4,
36,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,173,216.5,1195.145996,96.33487701,41.09695816,2.360625982,3.665421009,6.719771862,10.30000019,0.35,29.99214935,,,
38,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,,,1195.41394,97.79691315,40.88471985,2.400938988,2.202128887,6.708856106,10.30000019,0.35,29.98586082,0.1,13.4,
40,5L Fermenter,5000ml,Ferm1,1195,1,6.8,2.5,100,0,30,Media type A,Glucose,0,176,212,1195.567017,98.69393158,39.18677902,2.425435066,1.307086945,6.726057053,10.30000019,0.35,30.00415993,,,
