input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.401666667,,1185.218994,100,99.33751678,4.999999046,0,6.345066071,0,0,30.09,,,
2,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.475333333,,1185.057007,100,97.99163055,4.999999046,0,6.383784771,0,0,30.03,,,
4,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,0.775,,1185.499023,100,96.12970734,4.999999046,0,6.390359879,0,0,30.01,,,
6,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,2.62,,1185.381958,100,88.16596985,4.999999046,0,6.395473957,0,0,29.9,,,
8,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,5.8,,1184.727051,100,77.02928925,5.000000954,0,6.384150982,0,0,30,,,
10,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,13.26666667,,1185.516968,100,53.096241,5.000000954,0,6.198225975,0,0,30.13,,14.28,33.03
10.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,17.36666667,55.5,1184.619995,100,58.25662994,5.000000954,0,6.39109087,7.7,0.2618,30.03,,8.23,33.6
12.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,28.03333333,79.5,1185.045044,100,62.67084885,5.000000954,0,6.242059231,11.4,0.3876,30.01,,0.33,31.12
14.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,38.16666667,94.5,1185.279053,100,51.21339035,5.000000954,0,6.211009979,17.2,0.5848,29.99,-0.0351,0.53,24.5
16.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,47.16666667,128.5,1185.329956,99.36515808,40.0906601,5.000000954,0.633682311,6.201879025,25.55,0.8687,30.01,0.04202,0.49,21.65
18.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,51.66666667,145.5,1184.95105,99.62391663,39.97211075,4.999947071,0.37625891,6.204801083,17.9,0.6086,30,-0.04009,0.27,19.16
20.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,56.73333333,154,1185.146973,100,44.81869125,5.000000954,0,6.253746986,17.9,0.6086,30.01,-0.00918,0.25,15.79
22.5,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,64.06666667,180.5,1184.807983,100,45.89957809,5.000000954,0,6.264706135,17.9,0.6086,29.99,-0.04202,0.18,12.55
24,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,26,Media A,Glucose,0,64.66666667,183,1185.355957,100,44.15621185,5.000000954,0,6.227447987,17.9,0.6086,28.89,-0.04073,0.6,10.28
28,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,26,Media A,Glucose,0,68.93333333,213,1184.987061,96.6452713,39.67921829,4.965680122,3.355122089,6.21539402,20.6,0.7004,26.02,-0.04009,0.4,2.07
32,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,26,Media A,Glucose,0,81.8,195.5,1185.112061,99.81340027,40.6206398,4.999999046,0.187912002,6.242059231,12.5,0.425,26.01,-0.0433,0.64,0.31
36,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,26,Media A,Glucose,0,87.8,213,1185.141968,99.53559875,40.78102875,4.975297928,0.463378906,6.241327763,12.5,0.425,26.01,-0.09183,0.69,-0.1
40,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,26,Media A,Glucose,0,78.93333333,194,1185.362061,97.68778992,40.16736984,4.875174999,2.312344074,6.234387875,12.5,0.425,25.99,0.03061,1.04,0.04
44,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,77.53333333,197,1185.426025,95.55555725,39.63040924,4.771942139,4.447697163,6.21721983,12.5,0.425,25.99,-0.02143,1.24,-0.03
48,5L Fermenter,5000ml,Ferm2,1185,100,6.3,5,100,0,30,Media A,Glucose,0,74.26666667,200,1184.947998,99.65387726,40.30683899,4.959848881,0.345649689,6.213932991,8.75,0.2975,26,-0.04458,1.2,-0.07
