input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.251,,1184.98303222656,100.0,96.3406524658203,5.00000095367432,0.0,6.36579418182373,0.0,0.0,30.09,,,,
2.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.43,,1185.19201660156,100.0,84.0452423095703,5.00000095367432,0.0,6.38389301300049,0.0,0.0,30.01,,,,
4.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.39,,1185.35595703125,100.0,77.4850311279297,5.00000095367432,0.0,6.33983993530273,0.0,0.0,30.01,,,,
6.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,3.63,,1185.44604492187,100.0,67.9840316772461,5.00000095367432,0.0,6.29886198043823,0.0,0.0,30.01,,,,
8.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,7.54,,1185.28894042969,100.0,55.6220893859863,5.00000095367432,0.0,6.22612380981445,0.0,0.0,30.01,,,,
9.75,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,14.3,52.0000000000002,1185.02600097656,100.0,52.1623382568359,5.00000095367432,0.0,6.26027297973633,0.0,0.0,29.97,,0.0,12.14,30.01
12.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,25.7,73.5,1184.75903320312,100.0,49.1417198181152,5.00000095367432,0.0,6.22305107116699,10.89,0.37026,30.01,,0.0,0.45,25.47
14.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,37.1,104.5,1184.73400878906,94.5497665405273,37.1124382019043,5.17554187774658,5.45249891281128,6.25719976425171,16.39,0.55726,30.01,,0.0,0.44,19.09
16.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.0,130.0,1185.34802246094,80.6040267944336,37.2987403869629,2.31953406333923,19.3988609313965,6.33096218109131,24.39,0.82926,29.99,,2.74916,1.76,15.53
18.0,5L Fermenter,5000ml,Ferm4,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,47.4,155.5,1185.50500488281,84.2769470214844,40.931468963623,2.95490503311157,15.7214202880859,6.51980590820312,17.9,0.6086,30.0,,0.0,0.87,8.21
