input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l
0,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.308,,700.5883178710938,100.0,113.89569854736328,5.017330169677734,0.0,6.832377910614014,0.0,0.0,29.96500015258789,,0.27108,9.51,35.11
2,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.5403333333333333,,700.25048828125,100.0,105.14550018310548,5.000000953674316,0.0,6.750720024108887,0.0,0.0,29.995819091796875,,0.22888,10.08,32.9
4,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,1.5346666666666666,,700.0087890625,100.0,83.89798736572266,5.00264310836792,0.0,6.8800129890441895,0.0,0.0,30.03883934020996,,-0.03325,16.67,29.31
6,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,6.133333333333333,28.5,699.9893798828125,91.16636657714844,41.67975997924805,4.631149768829346,8.835273742675781,6.78603982925415,0.0,0.0,30.051130294799805,,-0.0358,28.11,26.52
8,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,15.613333333333337,,700.5438232421875,90.76851654052734,35.689178466796875,4.580043792724609,9.23673152923584,6.887790203094482,0.0,0.0,29.81757926940918,,-0.04539,17.05,22.78
10,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,31.666666666666668,,699.638427734375,74.63552856445312,39.06962966918945,4.363656044006348,25.36484909057617,6.705029010772705,10.393329620361328,0.353,29.99574089050293,,-0.0517899999999999,69.93,21.02
12,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,42.03333333333333,,700.0338745117188,57.14316940307617,18.001649856567383,5.397869110107422,42.97220993041992,6.743589878082275,20.243019104003903,0.688,30.020360946655277,,-0.07225,4.35,14.96
14,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,45.96666666666667,,699.7406005859375,52.39973831176758,44.207611083984375,5.447772979736328,47.59466171264648,6.7455339431762695,30.189359664916992,1.026,29.98349952697754,,7.34603,9.87,12.24
16,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,64.0,,700.2034301757812,32.79159164428711,43.71400833129883,5.42043399810791,67.20391845703125,6.743589878082275,16.309999465942383,0.554,30.00200080871582,,9.42389,17.49,7.33
18,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,63.6,192.99999999999997,700.4224853515625,73.49330139160156,36.46697998046875,6.059999942779541,26.5047607421875,6.721879005432129,11.40999984741211,0.387,29.977399826049805,,0.00639,68.72,7.42
20,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,70.13333333333333,209.50000000000003,700.0518188476562,80.78724670410156,38.95745086669922,6.214314937591553,19.214059829711918,6.706974029541016,11.40999984741211,0.387,29.98978042602539,,-0.039,83.17,4.58
22,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,75.86666666666667,243.0000000000001,700.1461181640625,78.40946960449219,41.67975997924805,6.017380237579346,21.595539093017575,6.702436923980713,14.829999923706056,0.504,30.008140563964844,,-0.03772,81.54,3.04
24,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,83.73333333333333,220.0,700.1768798828125,77.56008911132812,39.46601104736328,6.0047712326049805,22.440189361572266,6.711510181427002,17.0,0.578,30.00211906433105,,-0.03644,127.07,1.62
28,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,81.86666666666667,233.50000000000003,700.4796752929688,87.59575653076172,38.29930114746094,4.956099033355713,12.406660079956056,6.741645812988281,19.549999237060547,0.664,29.99574089050293,,1.41678,254.45,0.08
32,5L Fermenter,5000ml,Ferm5,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,78.53333333333335,218.0,699.919921875,95.32887268066406,41.560089111328125,4.960000038146973,4.697597980499268,6.695631980895996,11.649999618530272,0.396,30.00197982788086,,3.13405,324.97,-0.38
