Experiment Name,Total Missing (%),output_OD600 Missing (%),output_WCW_gl Missing (%),output_agitation Missing (%),output_air_% Missing (%),output_D0_% Missing (%),output_gasflow Missing (%),output_O2 Missing (%),output_Ph Missing (%),output_feed_% Missing (%),output_feed Missing (%),output_Temp Missing (%),output_glycerol_gl Missing (%),output_glucose_gl Missing (%),output_acetate_mmol_l Missing (%),output_phosphate_mmol_l Missing (%),output_titre_µgl Missing (%)
exp_210623_1,15.340909090909092,9.090909090909092,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,100.0
exp_210623_2,15.340909090909092,9.090909090909092,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,100.0
exp_210623_3,15.625,9.090909090909092,31.818181818181817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,100.0
exp_210623_4,15.340909090909092,9.090909090909092,27.27272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,27.27272727272727,27.27272727272727,27.27272727272727,100.0
exp_211013_1,19.078947368421055,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.31578947368421,26.31578947368421,26.31578947368421,100.0
exp_211013_2,19.078947368421055,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.31578947368421,26.31578947368421,26.31578947368421,100.0
exp_211013_3,19.078947368421055,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.31578947368421,26.31578947368421,26.31578947368421,100.0
exp_211013_4,19.078947368421055,0.0,26.31578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26.31578947368421,26.31578947368421,26.31578947368421,100.0
exp_211130_1,18.75,9.523809523809524,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.047619047619047,19.047619047619047,19.047619047619047,100.0
exp_211130_2,18.75,9.523809523809524,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.047619047619047,19.047619047619047,19.047619047619047,100.0
exp_211130_3,18.452380952380953,9.523809523809524,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.047619047619047,19.047619047619047,19.047619047619047,100.0
exp_211130_4,18.452380952380953,9.523809523809524,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,19.047619047619047,19.047619047619047,19.047619047619047,100.0
exp_220309demo_1,10.597826086956522,13.043478260869565,52.17391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043478260869565,0.0,91.30434782608695
exp_220309demo_2,11.956521739130435,13.043478260869565,52.17391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043478260869565,21.73913043478261,91.30434782608695
exp_220309demo_3,11.956521739130435,13.043478260869565,52.17391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043478260869565,21.73913043478261,91.30434782608695
exp_220309demo_4,11.956521739130435,13.043478260869565,52.17391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043478260869565,21.73913043478261,91.30434782608695
exp_220315c1_1,14.473684210526317,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.73684210526315,0.0,0.0,0.0,94.73684210526315
exp_220315c1_2,14.802631578947366,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,94.73684210526315
exp_220315c1_3,14.802631578947366,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,94.73684210526315
exp_220315c1_4,14.802631578947366,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,94.73684210526315
exp_220315c1_5,14.802631578947366,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,94.73684210526315
exp_220315c1_6,14.802631578947366,0.0,42.10526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,94.73684210526315
exp_220329c2_1,27.250000000000004,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.0,44.0,64.0,96.0
exp_220329c2_2,27.500000000000004,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.0,44.0,68.0,96.0
exp_220329c2_3,27.500000000000004,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,44.0,44.0,68.0,96.0
exp_220329c2_4,26.75,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,40.0,64.0,96.0
exp_220329c2_5,34.25,52.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.0,68.0,76.0,96.0
exp_220329c2_6,26.75,24.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,40.0,64.0,96.0
exp_220822_1,19.0625,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,40.0,25.0,25.0,100.0
exp_220822_2,19.0625,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,40.0,25.0,25.0,100.0
exp_220822_3,19.0625,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,40.0,25.0,25.0,100.0
exp_220822_4,19.0625,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,40.0,25.0,25.0,100.0
