input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm4,0.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.363,,1184.84,100.0,98.53,5.0,0.0,6.71,30.09,0.0,0.0,,1.08,0.24,1.32,16.72
5L Fermenter,5000ml,Ferm4,2.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.582,,1184.79,100.0,96.29,5.0,0.0,6.82,29.98,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm4,4.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.79,,1184.84,100.0,90.76,5.0,0.0,6.85,30.0,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm4,6.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.64,,1184.68,100.0,77.19,5.0,0.0,6.76,30.0,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm4,8.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,11.18,,1184.96,100.0,58.08,5.0,0.0,6.71,30.0,0.0,0.0,,0.0,0.0,13.02,11.01
5L Fermenter,5000ml,Ferm4,8.5,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.77,100.0,50.48,5.0,0.0,6.7,30.0,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm4,8.6,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,16.5,48.9999999999999,1184.61,100.0,49.44,5.0,0.0,6.7,30.04,0.0,0.0,,,,,
5L Fermenter,5000ml,Ferm4,8.75,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,49.0,1185.14,100.0,56.85,5.0,0.0,6.84,29.94,7.06,0.24004,,,,,
5L Fermenter,5000ml,Ferm4,10.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,23.7,65.5,1184.58,100.0,63.91,5.0,0.0,6.75,30.0,9.06,0.30804,,0.0,0.0,0.3,9.95
5L Fermenter,5000ml,Ferm4,12.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,36.0,95.0,1185.07,100.0,46.09,5.0,0.0,6.71,30.01,13.47,0.45798,,0.0,0.0,0.33,8.76
5L Fermenter,5000ml,Ferm4,14.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,44.7,125.0,1184.56,94.78,39.11,4.92,5.22,6.74,29.95,20.15,0.6851,,0.01,1.01008,1.33,7.78
5L Fermenter,5000ml,Ferm4,16.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,50.8,152.0,1184.77,84.26,30.71,5.08,15.74,6.71,30.12,17.9,0.6086,,0.01,2.90143,2.4,5.31
5L Fermenter,5000ml,Ferm4,18.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,60.8,179.5,1184.85,95.78,39.06,4.89,4.02,6.72,30.0,17.9,0.6086,,0.0,0.0,0.65,1.16
5L Fermenter,5000ml,Ferm4,20.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,67.6,193.5,1185.56,93.61,40.43,5.04,6.39,6.72,29.99,17.9,0.6086,,0.0,0.0,0.45,0.0
5L Fermenter,5000ml,Ferm4,22.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,77.6,208.0,1185.27,91.34,40.94,5.21,8.66,6.7,30.0,17.9,0.6086,,0.0,0.0,0.81,0.0
5L Fermenter,5000ml,Ferm4,24.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,81.4,208.5,1185.13,92.62,39.54,5.3,7.38,6.76,29.98,17.9,0.6086,,0.01,0.0,1.72,0.0
5L Fermenter,5000ml,Ferm4,28.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,86.8,213.5,1185.07,89.96,40.31,5.0,10.04,6.7,29.98,17.9,0.6086,,0.01,1.16514,3.22,0.0
5L Fermenter,5000ml,Ferm4,32.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,98.4,214.5,1185.48,91.99,40.4,5.22,8.01,6.74,29.98,17.9,0.6086,,0.0,5.11541,1.66,0.0
5L Fermenter,5000ml,Ferm4,36.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,94.0,219.0,1184.78,95.45,40.26,5.0,4.55,6.7,30.01,12.5,0.425,,0.01,1.96607,2.15,0.0
5L Fermenter,5000ml,Ferm4,40.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,97.6,204.0,1184.98,97.35,39.78,5.0,2.63,6.73,29.93,12.5,0.425,,0.01,0.0,1.38,0.0
5L Fermenter,5000ml,Ferm4,44.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,99.6,202.0,1184.78,99.1,40.51,5.0,0.9,6.73,30.02,12.5,0.425,,0.0,0.0,0.66,0.0
5L Fermenter,5000ml,Ferm4,48.0,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,103.2,204.0,1185.3,99.35,40.25,5.0,0.65,6.74,29.97,12.5,0.425,,0.02,0.0,0.67,0.0
