input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Temp.1,output_Feed %,output_Feed,output_Titre (µg/µl),output_Acetate (mmol/L),output_Glycerol (g/L),output_Phosphate (mmol/L),output_Glucose (g/L)
5L Fermenter,5000ml,Ferm2,0,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.31833333333333336,,1194.8709716796875,100.0,90.62345123291016,5.000000953674316,0.0,6.754333972930908,29.971830368041992,0.0,0.0,,9.56,,29.99,0.26661
5L Fermenter,5000ml,Ferm2,2,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,0.5726666666666667,,1195.35400390625,100.0,84.37655639648438,5.000000953674316,0.0,6.903768062591553,29.959409713745117,0.0,0.0,,10.4,,27.69,0.22505
5L Fermenter,5000ml,Ferm2,4,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,1.7146666666666668,,1195.3270263671875,100.0,78.88723754882812,5.017330169677734,0.0,6.885707855224609,30.100980758666992,0.0,0.0,,16.32,,26.49,-0.03644
5L Fermenter,5000ml,Ferm2,6,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,7.395333333333333,35.0,1195.3330078125,100.0,60.37009048461914,4.999999046325684,0.0,6.830112934112549,30.039440155029297,0.0,0.0,,26.12,,25.11,-0.03325
5L Fermenter,5000ml,Ferm2,8,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,18.30666666666667,,1194.8370361328125,100.0,55.38996887207031,4.966549873352051,0.0,6.9066009521484375,30.088680267333984,0.0,0.0,,-1.1,,22.17,-0.055619999999999996
5L Fermenter,5000ml,Ferm2,10,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,31.7,,1194.9000244140625,100.0,56.14754104614258,4.97593879699707,0.0,6.744420051574707,30.19940948486328,10.364439964294434,0.352,,-0.8,,21.68,-0.06520999999999999
5L Fermenter,5000ml,Ferm2,12,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,44.0,,1194.7430419921875,99.92542266845703,38.37556076049805,5.015524864196777,0.0908966064453125,6.760707855224609,30.01481056213379,20.206050872802734,0.687,,2.14,,18.51,-0.07225
5L Fermenter,5000ml,Ferm2,14,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,47.099999999999994,,1195.3570556640625,91.95142364501953,40.623451232910156,4.797010898590088,8.042839050292969,6.713612079620361,29.971729278564453,30.133350372314453,1.024,,6.99,,15.89,4.966399999999999
5L Fermenter,5000ml,Ferm2,16,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,56.46666666666667,,1194.8790283203125,90.2623062133789,41.1077995300293,4.711030960083008,9.738166809082031,6.699801921844482,30.033340454101562,23.270000457763672,0.791,,10.95,,11.7,3.81815
5L Fermenter,5000ml,Ferm2,18,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,71.63333333333333,213.00000000000009,1194.8070068359375,98.58119201660156,38.0278205871582,4.880006790161133,1.4225120544433594,6.757874965667725,29.984050750732422,23.270000457763672,0.791,,2.93,,4.41,-0.03516
5L Fermenter,5000ml,Ferm2,20,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,79.43333333333334,251.0000000000001,1195.14794921875,92.79022216796875,36.438148498535156,4.6793999671936035,7.223545074462891,6.72990083694458,29.891780853271484,30.250999450683594,1.028,,1.98,,-0.37,-0.040920000000000005
5L Fermenter,5000ml,Ferm2,22,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,92.66666666666667,231.00000000000009,1195.2139892578125,92.42091369628906,41.24441146850586,4.6116180419921875,7.577434062957764,6.698386192321777,29.92906951904297,39.33000183105469,1.337,,2.65,,-0.41,9.20651
5L Fermenter,5000ml,Ferm2,24,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,107.93333333333334,246.50000000000006,1194.8780517578125,92.76277160644531,40.18877029418945,4.635744094848633,7.237614154815674,6.709716796875,29.990089416503906,25.399999618530273,0.863,,4.71,,-0.03,13.91846
5L Fermenter,5000ml,Ferm2,28,1195,1,6.8,5,100,0-100%,30,Media type A,Glucose,0,121.66666666666667,232.00000000000009,1194.93994140625,93.55026245117188,40.660709381103516,4.6151628494262695,6.448975086212158,6.728485107421875,29.94124984741211,25.399999618530273,0.863,,4.17,,-0.06,18.815810000000003
