input_Vessel Type,input_Vessel Volume,input_Vessel Name,input_Timepoint (hr),input_Agitation,input_DO,input_pH setpoint,input_Gas flow,input_Air (%),input_O2,input_Temp,input_Media type,input_Feed Type,input_Glucose Limit,output_OD600,output_WCW (g/L),output_Agitation.1,output_Air %,output_D0 %,output_GasFlow,output_O2.1,output_Ph,output_Feed %,output_Feed,output_Temp.1,output_Titre (mg/ml),output_Glycerol (g/L),output_Glucose (g/L),output_Acetate (mmol/L),output_Phosphate (mmol/L)
5L Fermenter,5000ml,Ferm3,0.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.255,,1186.04504394531,100.0,100.435897827148,5.00000095367432,0.0,6.33203887939453,0.0,0.0,30.08,,,,,
5L Fermenter,5000ml,Ferm3,2.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.433666666666667,,1184.78405761719,100.0,99.064826965332,5.00000095367432,0.0,6.38373804092407,0.0,0.0,29.99,,,,,
5L Fermenter,5000ml,Ferm3,4.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.684333333333333,,1184.61694335937,100.0,97.1874465942383,5.00000095367432,0.0,6.39356803894043,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm3,6.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,2.83666666666667,,1184.86303710937,100.0,87.0974502563477,5.00000095367432,0.0,6.3830099105835,0.0,0.0,30.0,,,,,
5L Fermenter,5000ml,Ferm3,8.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,6.02,,1184.97399902344,100.0,71.4034576416016,5.00000095367432,0.0,6.39939403533936,0.0,0.0,29.99,,,,,
5L Fermenter,5000ml,Ferm3,10.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,14.1666666666667,,1184.31604003906,98.2475433349609,55.336799621582,4.97325992584229,1.69600701332092,6.24830102920532,0.0,0.0,29.95,,1.44,,12.99,35.75
5L Fermenter,5000ml,Ferm3,10.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.2666666666667,54.4999999999999,1185.98999023437,100.0,42.3569107055664,4.99999904632568,0.0,6.35534000396729,7.7,0.2618,30.03,,0.01,,8.89,32.79
5L Fermenter,5000ml,Ferm3,12.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,28.8,100.5,1184.48400878906,99.4092636108398,40.5639190673828,4.99999904632568,0.590736389160156,6.23264598846436,11.4,0.3876,30.02,,0.0,,0.53,29.11
5L Fermenter,5000ml,Ferm3,14.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,45.7666666666667,122.0,1184.93603515625,95.6787719726562,35.0091400146484,4.89882898330688,4.32745409011841,6.21844720840454,17.18,0.58412,29.99,,,-0.03304,0.48,20.86
5L Fermenter,5000ml,Ferm3,16.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,53.4666666666667,161.0,1184.98901367187,86.7359313964844,39.2560806274414,5.11892414093018,13.2646503448486,6.25048494338989,25.6,0.8704,30.01,,,4.52468,0.83,16.74
5L Fermenter,5000ml,Ferm3,18.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,53.4666666666667,161.0,1185.09899902344,89.3373031616211,39.0662307739258,5.03420877456665,10.6656303405762,6.20133495330811,17.9,0.6086,30.0,,,12.94958,1.25,14.64
5L Fermenter,5000ml,Ferm3,20.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,64.7666666666667,202.5,1184.85498046875,75.2459564208984,46.1819686889648,3.68008303642273,24.746639251709,6.34223318099976,17.9,0.6086,29.97,,,4.91726,11.91,4.64
5L Fermenter,5000ml,Ferm3,22.5,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,71.8,214.0,1184.74499511719,76.0711975097656,25.9175891876221,3.61788010597229,23.9465999603271,6.29708814620972,17.9,0.6086,30.04,,,1.9287,23.26,0.23
5L Fermenter,5000ml,Ferm3,24.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,76.8666666666667,220.0,1184.98400878906,81.5822372436523,44.037410736084,3.67672395706177,18.4137706756592,6.26723289489746,17.9,0.6086,28.21,,,3.46816,5.41,0.05
5L Fermenter,5000ml,Ferm3,28.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,75.4,203.5,1184.64904785156,91.5475769042969,40.2264099121094,3.86066102981567,8.4521369934082,6.24393177032471,12.5,0.425,26.01,,,22.45501,2.82,0.01
5L Fermenter,5000ml,Ferm3,32.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,86.6666666666667,221.0,1184.98095703125,97.5883865356445,39.340461730957,5.00901508331299,2.41243004798889,6.26941776275635,10.6,0.3604,25.99,,,26.79141,11.24,0.0
5L Fermenter,5000ml,Ferm3,36.0,1185.0,100.0,6.3,5.0,100.0,0.0,26.0,Media A,Glucose,0.0,94.6666666666667,217.5,1184.92004394531,100.0,44.5717887878418,4.99999904632568,0.0,6.25631093978882,9.01,0.30634,25.98,,,29.35913,21.21,0.0
5L Fermenter,5000ml,Ferm3,40.0,1185.0,100.0,6.3,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,89.2,208.0,1185.13195800781,100.0,43.5873985290527,4.99999904632568,0.0,6.21007299423218,7.66,0.26044,25.99,,,29.78772,26.64,-0.06
