Experiment Name,output_OD600,output_WCW_gl,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,total,short_name
exp_210623_1,2,6,6,6,6,6,32,210623_1
exp_210623_2,2,6,6,6,6,6,32,210623_2
exp_210623_3,2,7,6,6,6,6,33,210623_3
exp_210623_4,2,6,6,6,6,6,32,210623_4
exp_211013_1,0,5,19,5,5,5,39,211013_1
exp_211013_2,0,5,19,5,5,5,39,211013_2
exp_211013_3,0,5,19,5,5,5,39,211013_3
exp_211013_4,0,5,19,5,5,5,39,211013_4
exp_211130_1,2,7,21,4,4,4,42,211130_1
exp_211130_2,2,7,21,4,4,4,42,211130_2
exp_211130_3,2,6,21,4,4,4,41,211130_3
exp_211130_4,2,6,21,4,4,5,42,211130_4
exp_220309demo_1,3,12,0,0,3,0,18,220309demo_1
exp_220309demo_2,3,12,0,0,3,5,23,220309demo_2
exp_220309demo_3,3,12,0,0,3,5,23,220309demo_3
exp_220309demo_4,3,12,0,0,3,0,18,220309demo_4
exp_220315c1_1,0,8,18,0,0,0,26,220315c1_1
exp_220315c1_2,0,8,19,0,0,0,27,220315c1_2
exp_220315c1_3,0,8,19,0,0,0,27,220315c1_3
exp_220315c1_4,0,8,19,0,0,0,27,220315c1_4
exp_220315c1_5,0,8,19,0,0,0,27,220315c1_5
exp_220315c1_6,0,8,19,0,0,0,27,220315c1_6
exp_220329c2_1,6,16,25,11,11,16,85,220329c2_1
exp_220329c2_2,6,16,25,11,11,17,86,220329c2_2
exp_220329c2_3,6,16,25,11,11,17,86,220329c2_3
exp_220329c2_4,6,16,25,10,10,16,83,220329c2_4
exp_220329c2_5,13,22,25,17,17,19,113,220329c2_5
exp_220329c2_6,6,16,25,10,10,16,83,220329c2_6
exp_220822_1,0,6,17,8,5,5,41,220822_1
exp_220822_2,0,6,17,8,5,5,41,220822_2
exp_220822_3,0,6,17,8,5,5,41,220822_3
exp_220822_4,0,6,17,8,5,5,41,220822_4
