input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.267,,1185.30603027344,100.0,97.9108810424805,5.00000095367432,0.0,6.73723697662354,0.0,0.0,30.01,,0.33348,1.77,27.54,
2.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,0.484,,1185.10900878906,100.0,83.7399520874023,5.00020790100098,0.0,6.83643913269043,0.0,0.0,30.04,,,,,
4.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,1.57,,1185.20397949219,100.0,75.675666809082,5.00000095367432,0.0,6.8671441078186,0.0,0.0,30.01,,0.0,7.9,21.21,
6.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,4.95,,1184.6689453125,100.0,64.0905838012695,5.00000095367432,0.0,6.78582620620728,0.0,0.0,30.01,,,,,
8.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,12.16,,1185.17297363281,100.0,51.4536209106445,5.00000905990601,0.0,6.69944715499878,0.0,0.0,30.02,,0.0,25.03,21.05,
8.38,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1184.72705078125,100.0,43.8860511779785,5.00002384185791,0.0,6.73386287689209,0.0,0.0,30.01,,,,,
8.8,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,,,1185.15905761719,100.0,41.5631790161133,5.00000095367432,0.0,6.72104120254517,0.0,0.0,29.97,,,,,
8.83,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,17.4,50.9999999999999,1185.09301757812,100.0,41.7823181152344,5.00000095367432,0.0,6.72137880325317,0.0,0.0,30.0,,0.0,19.62,18.48,
10.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,24.7,61.0000000000002,1185.25305175781,100.0,54.7991218566895,5.00000095367432,0.0,6.72104120254517,8.83,0.30022,30.01,,0.0,0.87,18.73,
12.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,34.9,88.0000000000001,1184.82800292969,99.5942993164062,40.1022605895996,4.96477317810059,0.399726897478104,6.74871015548706,13.12,0.44608,30.02,,0.0,1.06,15.19,
14.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,43.1,118.5,1184.92199707031,92.8881988525391,39.4886817932129,4.96037006378174,7.1135721206665,6.72475290298462,19.65,0.6681,29.99,,1.24629,3.63,14.36,
16.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,49.9,144.5,1184.69604492187,87.1024932861328,45.1862716674805,4.91374778747559,12.8909101486206,6.70552015304565,17.9,0.6086,29.97,,4.4632,4.16,9.58,
18.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,63.7,178.5,1184.42895507812,93.3568420410156,41.183349609375,4.91760587692261,6.6416540145874,6.74229907989502,17.9,0.6086,29.99,,0.0,1.08,3.11,
20.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,68.1,193.5,1185.02001953125,92.2913131713867,39.9707794189453,4.84016084671021,7.70654678344727,6.71699190139771,17.9,0.6086,30.0,,0.0,0.83,0.07,
24.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,91.8,213.5,1184.67700195312,89.7826538085937,40.3213996887207,4.76443290710449,10.2167701721191,6.741623878479,17.9,0.6086,29.99,,0.38454,2.09,0.0,
28.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,94.4,210.0,1184.65600585937,89.4285507202148,39.0065689086914,4.75737810134888,10.5726404190063,6.7652440071106,17.9,0.6086,30.01,,3.44007,2.48,0.0,
32.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,101.4,232.0,1185.0830078125,92.9527816772461,40.9496002197266,4.82223892211914,7.0453028678894,6.73487615585327,12.5,0.425,29.98,,0.0,0.74,0.0,
36.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,101.8,211.0,1185.07299804687,94.4229888916016,39.547119140625,5.0455961227417,5.57830810546875,6.75714492797852,12.5,0.425,29.99,,0.0,0.66,0.0,
40.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,110.2,212.0,1185.19799804687,93.8720092773437,39.9707794189453,5.74158191680908,6.12729978561401,6.70653200149536,12.5,0.425,30.01,,0.0,0.64,0.0,
44.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,105.6,213.5,1184.72900390625,93.2706604003906,40.1314811706543,5.02500009536743,6.72860383987427,6.76085710525513,12.5,0.425,30.0,,0.0,0.84,0.0,
48.0,5L Fermenter,5000ml,Ferm2,1185.0,100.0,6.8,5.0,100.0,0.0,30.0,Media A,Glucose,0.0,125.2,200.5,1184.498046875,94.0580596923828,39.6932106018066,5.0199499130249,5.94232177734375,6.69944715499878,12.5,0.425,30.0,,0.01702,1.5,0.0,
