input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.302,,1194.8929443359375,100.0,100.12159729003906,5.000000953674316,0.0,6.714090824127197,0.0,0.0,30.01,6.3,0.0,9.42,31.13,
2,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,0.4396666666666666,,1194.7659912109375,100.0,101.8240966796875,5.013497829437256,0.0,6.89695405960083,0.0,0.0,29.98,6.7,0.0,9.89,27.29,
4,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,1.6166666666666665,,1194.6209716796875,100.0,77.92865753173828,4.9972310066223145,0.0,6.8923821449279785,0.0,0.0,30.04,6.81,0.0,15.67,26.95,
6,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,6.766666666666667,38.00000000000004,1195.5150146484375,95.83309936523438,38.65018081665039,4.702493190765381,4.170616149902344,6.870931148529053,0.0,0.0,30.01,5.39,0.0,26.8,25.12,
8,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,17.3,,1195.447998046875,88.98512268066406,24.685850143432617,4.532049179077148,11.016799926757812,6.899415016174316,7.0,0.238,29.99,0.0,-0.0358,27.03,19.03,
10,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,29.73333333333333,,1194.56005859375,78.506103515625,38.10295867919922,6.614677906036377,21.49323081970215,6.808335781097412,10.41,0.35394,29.95,0.0,-0.03516,1.2,21.23,
12,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,42.36666666666667,,1194.7979736328125,74.48394775390625,33.88731002807617,6.922665119171143,25.509510040283203,6.736246109008789,15.61,0.53074,29.95,0.0,-0.03772,1.44,21.61,
14,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,49.73333333333333,,1194.7889404296875,65.12654876708984,22.57802963256836,6.805251121520996,34.88307189941406,6.798489093780518,23.27,0.79118,30.05,0.0,2.02927,10.46,14.08,
16,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,54.86666666666667,,1194.7760009765625,100.0,40.57559967041016,5.000000953674316,0.0,6.705650806427002,17.9,0.6085999999999999,29.98,0.0,5.67671,1.83,17.46,
18,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,63.06666666666666,184.49999999999997,1194.8900146484375,100.0,47.28414916992188,5.000000953674316,0.0,6.7052998542785645,17.9,0.6085999999999999,30.01,0.0,-0.03325,0.79,11.89,
20,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,67.53333333333335,204.50000000000009,1195.2679443359375,100.0,41.08229064941406,5.000000953674316,0.0,6.784422874450684,17.9,0.6085999999999999,30.01,0.0,-0.0370799999999999,1.12,10.12,
22,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,71.86666666666666,211.50000000000009,1195.385986328125,100.0,50.46614837646485,4.999999046325684,0.0,6.735894203186035,17.9,0.6085999999999999,29.95,0.0,-0.03644,0.99,7.24,
24,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,90.0,220.50000000000009,1195.22998046875,99.64280700683594,37.43413162231445,4.99988317489624,0.3611069023609161,6.75206995010376,17.9,0.6085999999999999,30.06,0.0,-0.03644,3.12,2.5,
26,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,103.5,,1194.7530517578125,99.7506103515625,42.80503082275391,4.9988322257995605,0.2459830939769745,6.799191951751709,17.9,0.6085999999999999,30.0,0.0,-0.03644,0.97,0.03,
28,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,112.0,238.0,1194.762939453125,99.42765808105467,34.941219329833984,4.98881721496582,0.5979232788085938,6.728860855102539,14.4,0.4896,30.0,0.0,-0.03772,1.38,0.03,
30,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.197998046875,100.0,53.2428092956543,5.000000953674316,0.0,6.740466117858887,16.6,0.5644,30.0,0.0,-0.04028,,,
32,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,126.83333333333331,234.5,1193.916015625,98.79155731201172,35.285770416259766,4.959971904754639,1.2143360376358032,6.730970859527588,19.1,0.6494,29.98,0.0,-0.03772,2.01,-0.01,
34,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1195.406005859375,97.45188903808594,36.76530075073242,4.961617946624756,2.5520589351654053,6.8431501388549805,18.6,0.6324000000000001,30.04,0.0,0.039,,,
36,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,134.0,227.00000000000009,1195.22802734375,98.48275756835938,39.98783874511719,4.960000991821289,1.517261981964111,6.823456764221191,18.6,0.6324000000000001,29.98,0.0,-0.0370799999999999,1.83,-0.05,
38,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,,,1194.698974609375,99.00840759277344,39.52169036865234,4.9824628829956055,0.986114501953125,6.721124172210693,18.6,0.6324000000000001,30.0,0.0,-0.03772,,,
40,5L Fermenter,5000ml,Ferm2,1195,100,6.8,5,100,0,30,Media A,Glucose,0,141.33333333333334,228.0,1194.72802734375,99.2197723388672,37.312530517578125,4.959953784942627,0.785614013671875,6.714443206787109,18.6,0.6324000000000001,30.04,0.0,-0.03516,1.53,-0.09,
