input_Timepoint (hr),input_vessel_type,input_vessel_volume,input_vessel_name,input_agitation_rpm,input_DO_%,input_pH_setpoint,input_gas_flow,input_air_%,input_O2,input_Temp_c,input_media_type,input_feed_type,input_glucose_limit,output_OD600,output_WCW_gl,output_agitation,output_air_%,output_D0_%,output_gasflow,output_O2,output_Ph,output_feed_%,output_feed,output_Temp,output_glycerol_gl,output_glucose_gl,output_acetate_mmol_l,output_phosphate_mmol_l,output_titre_µgl
0,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.291,,699.8953857421875,100.0,124.7947998046875,5.01748514175415,0.0,6.774229049682617,0.0,0.0,29.99472045898437,,0.26405,9.79,37.41,
2,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,0.507,,700.185302734375,100.0,132.4427947998047,5.000000953674316,0.0,6.741422176361084,0.0,0.0,30.000900268554688,,0.22952,10.26,32.88,
4,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,1.4746666666666666,,699.7230834960938,100.0,117.0072021484375,5.000448226928711,0.0,6.876658916473389,0.0,0.0,30.02563095092773,,-0.0358,15.76,29.61,
6,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,5.8500000000000005,24.5,700.206787109375,99.2113800048828,36.91286849975586,4.980405807495117,0.7811316847801208,6.853330135345459,0.0,0.0,30.043920516967773,,-0.03644,25.95,26.98,
8,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,13.473333333333334,,700.1506958007812,76.64922332763672,42.57027816772461,5.065213203430176,23.40781021118164,6.701323986053467,0.0,0.0,29.98855972290039,,-0.04156,32.39,24.82,
10,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,25.8,,700.0479736328125,58.52634811401367,31.814210891723636,5.264723777770996,41.48912048339844,6.727933883666992,10.393329620361328,0.353,30.0314998626709,,-0.0537,23.7,20.86,
12,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,39.7,,700.098388671875,39.35266876220703,14.75467014312744,5.770734786987305,60.678470611572266,6.732673168182373,20.254579544067383,0.688,30.02552032470703,,-0.07928,4.08,15.58,
14,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,46.833333333333336,,699.978515625,40.64630126953125,47.98323822021485,5.805140018463135,59.33235931396485,6.785529136657715,30.206329345703125,1.026,29.976299285888672,,5.73297,12.64,12.26,
16,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,53.16666666666666,,700.4182739257812,52.12417984008789,37.12239837646485,5.500720977783203,47.87924957275391,6.710072994232178,16.309999465942383,0.554,29.97636032104492,,3.50487,45.36,11.62,
18,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,66.2,184.99999999999997,699.767822265625,66.49321746826172,45.36405944824219,5.198911190032959,33.507930755615234,6.7439727783203125,16.309999465942383,0.554,29.976320266723636,,-0.03325,146.18,8.73,
20,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,65.33333333333333,200.99999999999997,700.0880126953125,76.43443298339844,37.54146957397461,5.090727806091309,23.569000244140625,6.801931858062744,21.200000762939453,0.72,30.02549934387207,,0.93664,215.08,4.1,
22,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,68.23333333333333,191.99999999999997,700.4857177734375,81.48948669433594,35.93503952026367,5.059732913970947,18.498130798339844,6.710437774658203,21.200000762939453,0.72,29.98870086669922,,5.517510000000001,265.07,3.02,
24,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,68.39999999999999,193.0,700.1375732421875,88.65384674072266,40.00349044799805,5.019999980926514,11.351380348205566,6.738870143890381,21.200000762939453,0.72,29.994779586791992,,11.23323,322.49,4.47,
28,5L Fermenter,5000ml,Ferm6,700,1,6.8,5,100,0.0,30,Media type A,Glucose,0,60.66666666666666,179.00000000000006,700.192626953125,99.41818237304688,41.03369903564453,4.988890171051025,0.5805205702781677,6.709343910217285,21.200000762939453,0.72,30.001039505004883,,28.29725,366.11,3.44,
